year,month,date,string
2056,October,16,"['16th October, 2056', '2056/10/16', '10/16/2056', 'October 16th, 2056', '16/10/2056']"
2093,February,28,"['02/28/2093', 'February 28th, 2093', '28/02/2093', '28-02-2093', '28 Feb 2093', '2093/02/28', '28th February, 2093', '2093-02-28']"
1976,February,18,"['18-02-1976', '18/02/1976']"
1974,November,19,"['19th November, 1974', '19-11-1974', '19/11/1974']"
2060,November,2,"['02-11-2060', '02/11/2060', '2nd November, 2060', 'November 2nd, 2060']"
2013,December,17,"['17-12-2013', '2013-12-17']"
2039,December,18,"['18/12/2039', '18-12-2039']"
1913,November,23,['23-11-1913']
1989,March,21,"['1989-03-21', '21/03/1989', '21 Mar 1989', '21-03-1989', 'March 21st, 1989']"
1965,January,8,"['08/01/1965', '01/08/1965']"
2061,January,17,['2061-01-17']
2028,January,4,"['2028/01/04', '04 Jan 2028', 'January 4th, 2028']"
1979,March,11,"['11 Mar 1979', '1979-03-11', '03/11/1979', '11/03/1979', '11-03-1979', '1979/03/11', 'March 11th, 1979', '11th March, 1979']"
2010,December,28,"['2010/12/28', '12/28/2010', '28/12/2010']"
1950,August,24,"['1950/08/24', 'August 24th, 1950', '24 Aug 1950', '24/08/1950', '24th August, 1950', '24-08-1950', '1950-08-24']"
1936,September,27,"['27/09/1936', 'September 27th, 1936', '27th September, 1936']"
1908,May,13,"['13th May, 1908', '1908-05-13', '13-05-1908', '13/05/1908', 'May 13th, 1908', '05/13/1908', '1908/05/13', '13 May 1908']"
2022,August,26,"['26/08/2022', '2022-08-26', '26 Aug 2022', '26-08-2022', '08/26/2022']"
1925,September,12,"['1925/09/12', '12-09-1925', '12/09/1925', '09/12/1925']"
1938,August,27,"['27/08/1938', '27 Aug 1938', '27-08-1938', 'August 27th, 1938']"
1948,September,29,"['29th September, 1948']"
1925,February,27,"['02/27/1925', 'February 27th, 1925', '27th February, 1925']"
2050,June,25,"['June 25th, 2050', '25 Jun 2050', '06/25/2050']"
1920,November,23,"['23/11/1920', 'November 23rd, 1920', '11/23/1920', '23rd November, 1920', '1920/11/23', '23 Nov 1920']"
2001,January,17,"['2001/01/17', '17th January, 2001']"
1959,April,23,"['04/23/1959', '23rd April, 1959', '23 Apr 1959']"
1980,December,31,"['12/31/1980', '1980-12-31', '1980/12/31', '31/12/1980', '31-12-1980', 'December 31st, 1980']"
2039,December,15,"['15th December, 2039', '15/12/2039']"
2099,January,4,"['04-01-2099', '04/01/2099', '2099-01-04', '01/04/2099', 'January 4th, 2099', '4th January, 2099', '2099/01/04', '04 Jan 2099']"
1960,March,15,"['March 15th, 1960', '15 Mar 1960', '15/03/1960', '03/15/1960', '1960/03/15']"
2023,November,9,"['09-11-2023', '2023/11/09', '09 Nov 2023', '2023-11-09', '9th November, 2023', '09/11/2023']"
2009,June,20,"['June 20th, 2009', '20 Jun 2009', '2009-06-20']"
1936,December,28,['28-12-1936']
2058,March,4,"['04 Mar 2058', '04-03-2058']"
1961,February,23,"['23-02-1961', 'February 23rd, 1961', '23 Feb 1961', '1961/02/23', '1961-02-23', '02/23/1961']"
1910,July,22,"['22nd July, 1910', '22-07-1910', 'July 22nd, 1910', '1910-07-22', '07/22/1910', '1910/07/22']"
1931,March,3,['03/03/1931']
2040,April,23,"['23-04-2040', 'April 23rd, 2040', '04/23/2040', '2040/04/23', '23/04/2040', '23 Apr 2040', '23rd April, 2040', '2040-04-23']"
2095,June,8,"['2095-06-08', '08/06/2095', '08 Jun 2095', 'June 8th, 2095', '06/08/2095', '8th June, 2095', '08-06-2095']"
2016,September,12,"['09/12/2016', '2016/09/12']"
2097,February,14,"['February 14th, 2097', '14th February, 2097', '14-02-2097', '2097-02-14', '02/14/2097']"
1903,November,19,"['1903-11-19', 'November 19th, 1903', '1903/11/19', '19-11-1903']"
1916,June,8,"['June 8th, 1916', '8th June, 1916', '1916-06-08', '08-06-1916', '08/06/1916']"
1981,June,9,"['09 Jun 1981', '1981-06-09']"
1981,May,1,"['1981-05-01', '05/01/1981', '1st May, 1981', '01-05-1981', '01/05/1981', '01 May 1981', 'May 1st, 1981']"
1932,March,19,"['March 19th, 1932', '19 Mar 1932', '19/03/1932', '19th March, 1932', '1932/03/19', '1932-03-19']"
2078,April,19,['19 Apr 2078']
2004,January,11,"['2004/01/11', '01/11/2004', '11th January, 2004', '11/01/2004', '11 Jan 2004', '2004-01-11', '11-01-2004']"
1909,September,1,"['September 1st, 1909', '01-09-1909']"
2026,October,4,"['4th October, 2026']"
1935,December,9,"['9th December, 1935', '1935-12-09', 'December 9th, 1935', '1935/12/09', '09-12-1935', '09/12/1935', '09 Dec 1935']"
1944,May,6,"['05/06/1944', '6th May, 1944']"
2050,October,19,"['10/19/2050', '19 Oct 2050', 'October 19th, 2050', '2050/10/19', '19th October, 2050', '19-10-2050', '19/10/2050', '2050-10-19']"
2087,July,6,"['2087/07/06', '06-07-2087']"
2006,October,14,"['October 14th, 2006', '14-10-2006', '14/10/2006', '2006/10/14', '2006-10-14', '14 Oct 2006']"
1922,February,6,['06/02/1922']
2030,May,29,"['May 29th, 2030', '29-05-2030', '29 May 2030', '2030/05/29', '2030-05-29', '05/29/2030']"
1964,July,13,['13 Jul 1964']
2099,February,13,"['13th February, 2099', '2099-02-13', '2099/02/13']"
2002,April,18,"['18/04/2002', '04/18/2002', 'April 18th, 2002']"
2036,January,29,"['29th January, 2036', '29/01/2036']"
1922,November,3,"['3rd November, 1922', '03-11-1922', '03/11/1922', '03 Nov 1922', '1922/11/03', '11/03/1922']"
2087,April,16,"['16-04-2087', 'April 16th, 2087']"
2079,April,2,"['2nd April, 2079', '2079-04-02', '02-04-2079', '02/04/2079', '04/02/2079']"
2000,May,17,['05/17/2000']
2085,May,3,"['03-05-2085', '2085/05/03', '3rd May, 2085', '2085-05-03', '03/05/2085']"
2096,April,24,"['04/24/2096', '2096/04/24', '24 Apr 2096', '24/04/2096', 'April 24th, 2096', '24-04-2096']"
2039,August,6,"['06 Aug 2039', '06-08-2039', '08/06/2039', '2039-08-06', '6th August, 2039']"
2060,November,25,"['11/25/2060', '2060-11-25', '25-11-2060', '25 Nov 2060']"
1958,April,14,"['1958-04-14', '04/14/1958']"
1997,May,25,"['May 25th, 1997', '25th May, 1997', '25/05/1997']"
2052,July,22,"['2052/07/22', '2052-07-22', '07/22/2052']"
2066,November,24,"['24 Nov 2066', '2066/11/24', '11/24/2066', 'November 24th, 2066', '24th November, 2066', '24-11-2066', '24/11/2066']"
1937,January,21,"['21st January, 1937', '01/21/1937', '21-01-1937']"
1951,January,23,"['January 23rd, 1951']"
1951,July,21,"['21st July, 1951', '1951/07/21', '21 Jul 1951', '21/07/1951', 'July 21st, 1951', '07/21/1951', '1951-07-21']"
2056,July,23,"['23rd July, 2056', '2056-07-23', '23/07/2056', '23-07-2056', '2056/07/23', '23 Jul 2056']"
1948,July,12,"['12-07-1948', '1948/07/12', '12th July, 1948', '12 Jul 1948']"
1938,November,17,"['17/11/1938', '1938/11/17', 'November 17th, 1938']"
1921,December,3,"['1921/12/03', 'December 3rd, 1921']"
1957,April,11,"['11 Apr 1957', '1957/04/11', 'April 11th, 1957']"
1965,November,9,"['09-11-1965', '9th November, 1965', '09 Nov 1965', '11/09/1965', '09/11/1965', 'November 9th, 1965', '1965-11-09', '1965/11/09']"
1966,July,11,"['11th July, 1966', '11 Jul 1966']"
2073,October,21,"['21st October, 2073', '2073-10-21', 'October 21st, 2073', '21 Oct 2073', '2073/10/21']"
2016,November,18,"['2016-11-18', '2016/11/18', '18/11/2016']"
2072,August,14,"['2072-08-14', '14 Aug 2072', '08/14/2072']"
2067,May,13,"['13-05-2067', '2067/05/13', '13/05/2067', '2067-05-13', '13 May 2067', '05/13/2067']"
1924,January,31,"['31-01-1924', '31st January, 1924', 'January 31st, 1924', '1924-01-31', '31 Jan 1924', '01/31/1924', '1924/01/31', '31/01/1924']"
1971,November,22,"['22nd November, 1971', '22-11-1971', '22/11/1971', '1971/11/22']"
2067,July,19,"['19th July, 2067', '2067/07/19', '19 Jul 2067', '19-07-2067', '2067-07-19']"
2004,August,24,"['24 Aug 2004', '08/24/2004', 'August 24th, 2004']"
2037,June,24,"['24-06-2037', '2037-06-24', '2037/06/24']"
1930,July,22,"['07/22/1930', '22-07-1930', '22/07/1930', '1930-07-22', '1930/07/22', 'July 22nd, 1930', '22nd July, 1930']"
2006,September,11,"['2006/09/11', 'September 11th, 2006']"
1950,July,25,"['July 25th, 1950', '1950/07/25', '1950-07-25', '07/25/1950']"
1911,November,8,"['8th November, 1911', '08 Nov 1911', '1911-11-08', '08/11/1911', 'November 8th, 1911', '08-11-1911']"
2023,September,24,"['2023-09-24', 'September 24th, 2023', '24-09-2023', '09/24/2023', '24/09/2023', '2023/09/24', '24th September, 2023', '24 Sep 2023']"
2041,January,19,['19/01/2041']
1906,September,15,"['09/15/1906', '15/09/1906', '1906-09-15', 'September 15th, 1906', '1906/09/15', '15-09-1906', '15 Sep 1906']"
2094,March,10,"['March 10th, 2094', '10-03-2094']"
2040,March,10,"['10th March, 2040', '2040/03/10']"
2046,July,28,"['2046-07-28', '28 Jul 2046', '28th July, 2046']"
2064,July,31,['07/31/2064']
1978,January,5,"['05-01-1978', '05 Jan 1978', '01/05/1978', '1978/01/05']"
1945,December,10,"['10/12/1945', '1945/12/10', '12/10/1945']"
1936,October,24,"['October 24th, 1936', '1936-10-24']"
1927,May,4,"['04-05-1927', '04/05/1927', 'May 4th, 1927', '05/04/1927', '1927-05-04', '04 May 1927', '4th May, 1927']"
2086,July,30,"['30/07/2086', '30-07-2086', '07/30/2086', '30 Jul 2086']"
2032,August,22,"['22/08/2032', '22 Aug 2032', '2032-08-22', '22-08-2032', '08/22/2032']"
2004,February,17,"['February 17th, 2004']"
1964,February,6,"['06 Feb 1964', '6th February, 1964', '1964/02/06', '06-02-1964', '1964-02-06', '02/06/1964']"
2041,March,31,"['31-03-2041', '31st March, 2041']"
2021,December,15,"['15-12-2021', '15/12/2021', '12/15/2021', '2021-12-15', '15 Dec 2021', '15th December, 2021']"
2026,December,31,"['31/12/2026', '31st December, 2026', '31 Dec 2026', 'December 31st, 2026']"
1954,April,5,"['05-04-1954', '04/05/1954', '05/04/1954', '1954-04-05', '05 Apr 1954', 'April 5th, 1954', '5th April, 1954']"
2035,September,5,['05 Sep 2035']
1913,July,2,"['02 Jul 1913', '2nd July, 1913', '1913/07/02', '1913-07-02', 'July 2nd, 1913', '07/02/1913', '02-07-1913', '02/07/1913']"
2056,January,2,['2056/01/02']
1913,November,7,['07 Nov 1913']
1935,September,2,"['1935/09/02', '02 Sep 1935', '2nd September, 1935']"
1904,August,12,"['12-08-1904', '12 Aug 1904', '1904-08-12', '12/08/1904', '08/12/1904', '12th August, 1904', 'August 12th, 1904']"
2013,March,18,"['18 Mar 2013', '03/18/2013']"
1988,June,2,"['06/02/1988', '1988-06-02', '02/06/1988', '02 Jun 1988', '1988/06/02']"
2050,April,14,"['14th April, 2050', '14/04/2050']"
1919,May,6,['1919/05/06']
2042,September,24,"['24-09-2042', '2042-09-24', '2042/09/24', '24th September, 2042', '24/09/2042', '24 Sep 2042', 'September 24th, 2042', '09/24/2042']"
1903,July,20,"['20th July, 1903', '20-07-1903', 'July 20th, 1903', '20/07/1903', '1903/07/20', '1903-07-20', '20 Jul 1903', '07/20/1903']"
1970,September,8,"['08-09-1970', '1970/09/08', '09/08/1970', 'September 8th, 1970', '08 Sep 1970', '8th September, 1970', '08/09/1970']"
1941,November,19,"['19 Nov 1941', '19-11-1941']"
1923,January,7,"['01/07/1923', '07-01-1923']"
1926,September,6,"['1926-09-06', '06/09/1926', '09/06/1926', 'September 6th, 1926', '06 Sep 1926']"
1981,December,4,"['4th December, 1981', '04 Dec 1981', 'December 4th, 1981', '12/04/1981', '1981-12-04', '04/12/1981', '04-12-1981']"
1924,January,12,"['12th January, 1924', '12/01/1924', '12-01-1924', '12 Jan 1924', '1924-01-12', '01/12/1924', '1924/01/12', 'January 12th, 1924']"
2064,October,14,"['14th October, 2064', '14 Oct 2064', 'October 14th, 2064', '14-10-2064']"
2012,November,13,"['13-11-2012', '2012/11/13', '13 Nov 2012', '11/13/2012']"
1968,May,19,"['1968-05-19', '1968/05/19', '19 May 1968']"
2012,November,2,"['November 2nd, 2012', '11/02/2012', '02 Nov 2012', '2012-11-02', '02-11-2012', '2012/11/02', '02/11/2012', '2nd November, 2012']"
1945,October,20,"['20 Oct 1945', '1945/10/20', '1945-10-20', '10/20/1945', '20/10/1945']"
2051,August,22,"['22 Aug 2051', '2051/08/22', '2051-08-22', '22nd August, 2051']"
2063,December,21,"['21/12/2063', '21-12-2063', 'December 21st, 2063', '21 Dec 2063', '12/21/2063', '2063/12/21', '2063-12-21', '21st December, 2063']"
1934,November,19,['19/11/1934']
2081,January,14,"['2081/01/14', '2081-01-14', '14/01/2081', '01/14/2081']"
2060,September,25,"['2060-09-25', '25 Sep 2060', '25-09-2060', '25/09/2060', '25th September, 2060', '2060/09/25', '09/25/2060', 'September 25th, 2060']"
1975,December,14,"['1975/12/14', '14th December, 1975', '14-12-1975', '1975-12-14', '14/12/1975', 'December 14th, 1975', '14 Dec 1975']"
2019,August,15,"['2019-08-15', '15/08/2019', '2019/08/15', 'August 15th, 2019']"
1980,July,18,"['18/07/1980', '1980-07-18', '18-07-1980', '18 Jul 1980', 'July 18th, 1980', '1980/07/18', '07/18/1980', '18th July, 1980']"
1967,October,17,"['17 Oct 1967', '17/10/1967']"
2053,April,12,"['2053-04-12', '12-04-2053', '12/04/2053', '12 Apr 2053']"
1914,November,9,"['09-11-1914', '09 Nov 1914']"
2090,January,11,['2090/01/11']
1925,September,23,"['1925/09/23', '23rd September, 1925', '09/23/1925', '23-09-1925', '1925-09-23', 'September 23rd, 1925', '23/09/1925']"
1939,December,12,"['12th December, 1939', '1939-12-12', '12/12/1939', '12-12-1939', '12/12/1939', '12 Dec 1939', '1939/12/12', 'December 12th, 1939']"
1974,October,10,"['10/10/1974', '10/10/1974', '10 Oct 1974', '10-10-1974', '1974/10/10', '1974-10-10']"
1959,August,16,"['16/08/1959', '1959/08/16', '16 Aug 1959']"
2019,January,31,"['31st January, 2019']"
1977,September,2,"['02 Sep 1977', '1977-09-02', '02/09/1977', '09/02/1977', '02-09-1977', 'September 2nd, 1977', '1977/09/02']"
1997,December,12,"['12 Dec 1997', '12/12/1997', '1997-12-12', '12th December, 1997', 'December 12th, 1997', '1997/12/12', '12/12/1997']"
2039,February,16,"['2039/02/16', '16 Feb 2039', '16th February, 2039', '16-02-2039', '2039-02-16', '16/02/2039']"
1967,January,26,"['26 Jan 1967', '01/26/1967', 'January 26th, 1967', '26/01/1967', '26-01-1967', '1967/01/26', '26th January, 1967']"
2036,November,1,"['1st November, 2036', '2036/11/01', 'November 1st, 2036']"
2067,May,25,"['2067-05-25', '2067/05/25', '25/05/2067', '05/25/2067', '25 May 2067', 'May 25th, 2067', '25-05-2067', '25th May, 2067']"
1927,May,13,"['13 May 1927', '13-05-1927']"
2023,January,12,"['2023-01-12', 'January 12th, 2023', '12 Jan 2023', '12/01/2023', '12th January, 2023', '2023/01/12']"
1916,March,15,"['03/15/1916', '15-03-1916', '1916-03-15', '15 Mar 1916', '15th March, 1916', '1916/03/15']"
1933,December,25,"['25 Dec 1933', '1933/12/25', 'December 25th, 1933', '12/25/1933', '1933-12-25']"
1900,July,21,"['July 21st, 1900', '21 Jul 1900', '07/21/1900', '1900/07/21', '1900-07-21']"
1910,March,1,"['1st March, 1910']"
1930,March,25,"['25/03/1930', '25 Mar 1930', '25th March, 1930', '25-03-1930', 'March 25th, 1930', '1930/03/25', '1930-03-25', '03/25/1930']"
2010,May,30,"['05/30/2010', '2010/05/30', '30 May 2010', '30-05-2010', 'May 30th, 2010', '30th May, 2010', '2010-05-30']"
1983,August,16,"['08/16/1983', '16/08/1983', '1983-08-16', '16 Aug 1983']"
2015,May,30,['30 May 2015']
2065,May,2,"['2065-05-02', 'May 2nd, 2065']"
2000,February,3,"['3rd February, 2000', '2000/02/03', '03-02-2000']"
1942,July,15,"['July 15th, 1942', '15/07/1942', '15 Jul 1942', '1942-07-15']"
1963,February,2,"['1963/02/02', '1963-02-02', 'February 2nd, 1963']"
1945,March,22,"['22-03-1945', '22 Mar 1945', 'March 22nd, 1945', '1945/03/22']"
1927,December,9,"['09 Dec 1927', '09/12/1927']"
2026,October,25,"['25 Oct 2026', '25-10-2026', '10/25/2026', '2026/10/25', '25/10/2026', 'October 25th, 2026', '2026-10-25']"
2000,May,6,"['2000-05-06', '2000/05/06', 'May 6th, 2000', '06 May 2000', '05/06/2000', '06/05/2000', '06-05-2000', '6th May, 2000']"
2044,February,1,"['01 Feb 2044', '01/02/2044', '02/01/2044', '2044/02/01', '2044-02-01']"
2020,April,13,"['April 13th, 2020', '13th April, 2020', '04/13/2020', '13/04/2020', '13 Apr 2020']"
2003,July,13,"['13/07/2003', '2003-07-13']"
2063,November,16,"['November 16th, 2063', '2063/11/16', '16-11-2063', '16/11/2063']"
1915,April,6,"['04/06/1915', '06-04-1915', '1915-04-06', '06/04/1915', '6th April, 1915', 'April 6th, 1915', '1915/04/06', '06 Apr 1915']"
2043,February,2,"['February 2nd, 2043', '2043/02/02', '02/02/2043', '2nd February, 2043', '02/02/2043', '2043-02-02', '02-02-2043']"
1936,November,17,"['17 Nov 1936', '17-11-1936', 'November 17th, 1936']"
1987,August,1,"['August 1st, 1987', '08/01/1987', '01 Aug 1987']"
1950,October,19,"['10/19/1950', '19 Oct 1950', 'October 19th, 1950', '19-10-1950']"
1957,October,8,"['08/10/1957', '8th October, 1957', '08-10-1957', '08 Oct 1957', 'October 8th, 1957', '1957-10-08', '1957/10/08', '10/08/1957']"
2002,December,28,"['2002-12-28', '28th December, 2002', '28-12-2002', '12/28/2002', 'December 28th, 2002']"
2020,October,22,"['22 Oct 2020', '2020/10/22']"
2007,December,18,"['18-12-2007', '18th December, 2007', '18/12/2007', '12/18/2007']"
2022,March,11,"['11-03-2022', '2022/03/11', 'March 11th, 2022', '03/11/2022', '11/03/2022', '11 Mar 2022', '11th March, 2022']"
1901,July,21,"['1901/07/21', '07/21/1901', '1901-07-21', '21st July, 1901']"
2044,June,22,"['June 22nd, 2044', '22nd June, 2044', '2044/06/22', '22-06-2044', '06/22/2044']"
2079,May,27,"['May 27th, 2079', '27th May, 2079', '27/05/2079', '2079-05-27', '05/27/2079', '27 May 2079']"
2091,March,26,['2091/03/26']
1979,May,17,"['05/17/1979', '1979/05/17', '17th May, 1979']"
2012,February,1,"['1st February, 2012', '2012/02/01', '2012-02-01', '01 Feb 2012', 'February 1st, 2012', '02/01/2012', '01/02/2012']"
1940,August,28,"['28-08-1940', 'August 28th, 1940', '08/28/1940', '1940-08-28', '28 Aug 1940', '28th August, 1940', '28/08/1940', '1940/08/28']"
2007,January,17,"['17/01/2007', '2007-01-17', '17th January, 2007', '17 Jan 2007', '17-01-2007', '01/17/2007', 'January 17th, 2007']"
1917,April,13,"['13th April, 1917', '04/13/1917', 'April 13th, 1917', '1917-04-13', '13 Apr 1917']"
2051,January,7,"['01/07/2051', '7th January, 2051', 'January 7th, 2051', '07/01/2051', '2051/01/07', '07 Jan 2051', '2051-01-07', '07-01-2051']"
1956,November,15,"['1956-11-15', '15 Nov 1956', '15-11-1956', '11/15/1956', '15th November, 1956', 'November 15th, 1956', '1956/11/15']"
1941,July,10,"['10/07/1941', 'July 10th, 1941', '10-07-1941', '10 Jul 1941', '1941/07/10', '07/10/1941', '1941-07-10', '10th July, 1941']"
1984,June,7,"['06/07/1984', 'June 7th, 1984', '07-06-1984', '07/06/1984', '1984-06-07']"
2073,February,10,"['February 10th, 2073', '10-02-2073', '10/02/2073', '2073/02/10', '10 Feb 2073']"
2022,April,21,"['2022/04/21', '21 Apr 2022', '2022-04-21', '21st April, 2022', '04/21/2022']"
1983,April,12,"['12/04/1983', '1983/04/12', '12th April, 1983']"
2071,October,2,"['October 2nd, 2071', '02/10/2071', '02 Oct 2071', '02-10-2071']"
2074,November,18,"['18/11/2074', 'November 18th, 2074', '18-11-2074', '18th November, 2074', '2074/11/18', '18 Nov 2074', '11/18/2074']"
1983,June,14,"['1983/06/14', 'June 14th, 1983']"
1987,October,2,"['1987/10/02', '02 Oct 1987', '2nd October, 1987']"
2023,January,3,"['January 3rd, 2023', '03/01/2023']"
2036,July,15,"['2036-07-15', 'July 15th, 2036', '15 Jul 2036', '15-07-2036', '07/15/2036']"
2098,November,9,"['9th November, 2098']"
1949,August,29,"['1949-08-29', 'August 29th, 1949']"
1950,December,19,"['1950-12-19', '19/12/1950']"
2052,April,19,"['19th April, 2052', 'April 19th, 2052']"
2030,May,6,"['05/06/2030', '06/05/2030', '2030-05-06', '06 May 2030', '6th May, 2030']"
1917,December,25,"['25th December, 1917', 'December 25th, 1917', '25-12-1917', '1917/12/25', '1917-12-25', '25 Dec 1917']"
1951,December,15,"['1951/12/15', '1951-12-15', '12/15/1951', '15th December, 1951', '15/12/1951', '15-12-1951']"
1975,June,15,"['15-06-1975', '15/06/1975', '1975/06/15']"
2095,December,3,"['2095/12/03', '3rd December, 2095']"
1994,December,10,"['December 10th, 1994', '1994/12/10', '1994-12-10', '10th December, 1994', '10 Dec 1994', '10/12/1994', '10-12-1994', '12/10/1994']"
2031,June,8,"['2031/06/08', '8th June, 2031', '08/06/2031', 'June 8th, 2031', '06/08/2031', '08-06-2031', '2031-06-08']"
1968,March,4,"['03/04/1968', '04 Mar 1968', '04/03/1968', '04-03-1968', 'March 4th, 1968', '4th March, 1968', '1968/03/04', '1968-03-04']"
1916,October,21,"['October 21st, 1916', '21st October, 1916', '21/10/1916', '21-10-1916', '1916/10/21', '10/21/1916']"
